code,name,old_code,old_name,hex
G012,Mineral Green,G330,Mineral Green,#6c9993
G013,Muted Turquoise,BG5,Dolphin Blue,#508b88
G112,Pale Cobalt Green,G9,Meadow Green,#70a295
G113,Dusty Jade Green,G6,Dusty Jade Green,#43886d
G114,Aged Pine Green,G5,Turquoise Ink Blue,#225437
G210,Sea Green,G490,Viridian Green,#429a6a
G24,Celadon,G410,Light Holly Green,#abd1b8
G310,Shamrock Green,G2,Vivid Green,#1c8024
G311,Jade Green,G3,Ocean Green,#38b256
G312,Emerald Green,G1,Emerald Green,#0e6733
G313,Green,G390,Green,#0d571f
G315,Dark Emerald,BG1,Turquoise Green,#062f26
G316,Deep Jade Green,BG2,Deep Green,#082421
G34,Pale Green,G120,Yellowish Green,#bafcd8
G36,Glass Green,G8,Glass Green,#67d07b
G41,Peppermint,G110,Mignonette,#d4fcbd
G410,Grass Green,GY2,Grass Green,#55aa29
G43,Vintage Pale Green,GY172,Spectrum Green,#ccf1c2
G44,Sea Glass Green,G440,Leaf Green,#91db9a
G47,Spring Green,G140,Horseradish,#6fda6c
G49,Sour Apple,GY1,Pale Green,#7acf58
GG03,Silver Cloud,GG1,Green Grey 1,#b1c8cf
GG05,Evergreen Fog,GG3,Green Grey 3,#6f8082
GG07,Steel Grey,GG110,Toner Grey,#524d52
GG10,Soft Cool Grey,CG2,Cool Grey II 2,#b2acbe
GG11,Fog Grey,BG060,Deep Cool Grey,#878392
GG12,Pastel Icy Grey,BG070,Cool Grey 07,#8992a5
GG15,Dark Neutral Grey,NG07,Neutral Grey 7,#110d19
GG16,Dark Anchor Grey,NG06,Neutral Grey 6,#22202d
GG24,Wispy Grey,GG020,Green Grey 02,#b8c4b8
GG25,Pilgrim Haze,GG040,Light Jade Green Grey,#a5b0b1
R012,Fruit Punch,R070,Agate,#fc1f1c
R013,Tomato,Y5,Rouge Orange,#fb1f16
R014,Deep Vermilion,R2,Vermilion,#fb1915
R015,Crimson,R3,Coral Red,#d30713
R016,Chili Red,R180,Bright Red,#b3100f
R112,Reddish Pink,R150,Zinnober,#fc2f3a
R15,Lychee Juice,R110,Sardonyx,#fdadb1
R16,Light Salmon,R21,Fruit Pink,#fd9bac
R210,Deep Blush,R1,Coral Pink,#c92c5f
R211,Ruby,R230,Strong Red,#da0c23
R212,Mulberry,R170,Lipstick Red,#e10a36
R213,Pomegranate,R6,Rose Red,#e60625
R215,Morello Cherry,R8,Geranium,#74030c
R22,Ballet Pink,RV260,Pink,#fccaef
R23,Sakura,RV270,Shadow Pink,#fdb4c2
R25,Tender Pink,RV300,Tender Pink,#fd9eb8
R26,Valentine Pink,R190,Bougainvillaea,#ea639d
R27,Pink Satin,R120,Light Prawn,#fd8da8
R28,Pink Carnation,R9,Pastel Rose,#f961a2
R310,Purplish Pink,RV330,Strawberry Pink,#cf276f
R312,Magenta,RV350,Crimson,#cb0f2b
R38,Rose Pink,R23,Rose Pink,#fc618e
R410,Raspberry,R160,Cadmium Red,#f92552
R412,Cerise,R4,Deep Red,#fb123b
R413,Amaranth,R5,Cherry Pink,#ec0836
R46,Old Rose,R12,Rose Buvard,#d65759
