code,name,old_code
Y02,Lemon Chiffon,Y030
Y07,Banana Cream,GY6
Y09,Summer Lemon,Y050
Y14,Pale Lemon Yellow,G020
Y111,Mustard,Y2
Y26,Light Gold,Y3
Y27,Sunflower,Y1
Y28,Corn Yellow,Y6
Y29,Melon Yellow,YR33
Y213,Dark Marigold,YR2
Y216,Caramel,YR1
Y39,Straw,Y260
Y311,Termite Beige,Y270
Y315,Olive Yellow,Y8
Y45,Cream,YR240
Y46,Peach Yogurt,YR250
Y410,Goldenrod,YR260
Y412,Apple Cider,E490
Y413,Fawn,E240
Y415,Sand Storm,Y9
Y55,Golden Champagne,Y120
Y62,Sandy Beige,E280
Y69,Milk Tea,E210
Y611,Dark Sand,Y11
YR04,Pastel Peach,R18
YR06,Raw Cashew,E090
YR07,Salmon Orange,YR4
YR11,Peachy Blush,YR110
YR17,Sunset Orange,Y4
YR19,Marigold Orange,YR170
YR111,Persimmon,Y10
YR112,Orange,YR3
YR33,Rose Cream,R19
YR34,Peach Cream,R20
YR39,Cinnamon,BR3
YR312,Light Earth Brown,E110
YR313,Potato Brown,BR2
YR43,Pale Cherry Pink,R080
YR52,Cameo Rose,YR030
YR55,Pink Lemonade,E470
YR59,Cantaloupe,YR070
YR513,Papaya,YR190
YR515,Burnt Sienna,YR5
E05,Pale Moss,G220
E14,Khaki Beige,YG040
E19,Dried Sage,YG080
E22,Lime Juice,GY173
E26,Pale Celery,Y230
E46,Coral Sand,E220
E413,Dark Brown,E310
E415,Cedar brown,BR1
E211,Light Elm Wood,E440
E212,Dusty Olive,Y7
E311,Sandbar Brown,E300
E58,Fawn Brown,E170
E511,Chocolate Mocha,Y12
E515,Black Brown,Y13
E610,Light Mahogany,E060
E85,Cherry Taupe,E050
E92,Ash Rose,E380
E97,Deep Rose Grey,E400
R013,Tomato,Y5
R014,Deep Vermilion,R2
R015,Crimson,R3
R15,Lychee Juice,R110
R16,Light Salmon,R21
R22,Ballet Pink,RV260
R23,Sakura,RV270
R27,Pink Satin,R120
R28,Pink Carnation,R9
R210,Deep Blush,R1
R213,Pomegranate,R6
R215,Morello Cherry,R8
R38,Rose Pink,R23
R46,Old Rose,R12
R48,Cherry Rose,R200
R410,Raspberry,R160
R412,Cerise,R4
R413,Amaranth,R5
R54,Lavender Fog,R250
R57,Rose Dust,R280
R514,Prune Juice,R7
RV04,Light Orchid,RV030
RV05,Pink Pearl,RV280
RV08,Pastel Pink,R10
RV09,Disco Pink,RV070
RV17,Pink,R22
RV18,Bubblegum,R14
RV19,Dahlia Pink,R15
RV111,Hot Pink,RP6
RV25,Rosy Lilac,RV180
RV28,Hibiscus Pink,RV200
RV212,Rich Raspberry,RP1
RV33,Thistle,RV160
RV34,Faded Lilac,V020
RV29,Plum Pink,RV320
RV39,Bright Fuchsia,RV080
RV311,Pansy,P2
